location,date,vaccine,total_vaccinations
Austria,1/5/2021,Johnson&Johnson,0
Austria,1/5/2021,Moderna,0
Austria,1/5/2021,Oxford/AstraZeneca,0
Austria,1/5/2021,Pfizer/BioNTech,30829
Austria,1/12/2021,Johnson&Johnson,0
Austria,1/12/2021,Moderna,88
Austria,1/12/2021,Oxford/AstraZeneca,0
Austria,1/12/2021,Pfizer/BioNTech,114966
Austria,1/19/2021,Johnson&Johnson,0
Austria,1/19/2021,Moderna,298
Austria,1/19/2021,Oxford/AstraZeneca,0
Austria,1/19/2021,Pfizer/BioNTech,211955
Austria,1/26/2021,Johnson&Johnson,0
Austria,1/26/2021,Moderna,4144
Austria,1/26/2021,Oxford/AstraZeneca,0
Austria,1/26/2021,Pfizer/BioNTech,256468
Austria,2/2/2021,Johnson&Johnson,0
Austria,2/2/2021,Moderna,5821
Austria,2/2/2021,Oxford/AstraZeneca,1
Austria,2/2/2021,Pfizer/BioNTech,351355
Austria,2/9/2021,Johnson&Johnson,0
Austria,2/9/2021,Moderna,9849
Austria,2/9/2021,Oxford/AstraZeneca,10746
Austria,2/9/2021,Pfizer/BioNTech,451937
Austria,2/16/2021,Johnson&Johnson,0
Austria,2/16/2021,Moderna,13966
Austria,2/16/2021,Oxford/AstraZeneca,43387
Austria,2/16/2021,Pfizer/BioNTech,517314
Austria,2/23/2021,Johnson&Johnson,0
Austria,2/23/2021,Moderna,22200
Austria,2/23/2021,Oxford/AstraZeneca,100964
Austria,2/23/2021,Pfizer/BioNTech,578130
Austria,3/2/2021,Johnson&Johnson,0
Austria,3/2/2021,Moderna,31316
Austria,3/2/2021,Oxford/AstraZeneca,155413
Austria,3/2/2021,Pfizer/BioNTech,681746
Austria,3/9/2021,Johnson&Johnson,0
Austria,3/9/2021,Moderna,46571
Austria,3/9/2021,Oxford/AstraZeneca,232452
Austria,3/9/2021,Pfizer/BioNTech,844254
Austria,3/16/2021,Johnson&Johnson,10
Austria,3/16/2021,Moderna,78242
Austria,3/16/2021,Oxford/AstraZeneca,304880
Austria,3/16/2021,Pfizer/BioNTech,975854
Austria,3/23/2021,Johnson&Johnson,16
Austria,3/23/2021,Moderna,103523
Austria,3/23/2021,Oxford/AstraZeneca,378977
Austria,3/23/2021,Pfizer/BioNTech,1120524
Austria,3/30/2021,Johnson&Johnson,26
Austria,3/30/2021,Moderna,139482
Austria,3/30/2021,Oxford/AstraZeneca,417025
Austria,3/30/2021,Pfizer/BioNTech,1267320
Austria,4/6/2021,Johnson&Johnson,41
Austria,4/6/2021,Moderna,178749
Austria,4/6/2021,Oxford/AstraZeneca,506367
Austria,4/6/2021,Pfizer/BioNTech,1487263
Austria,4/13/2021,Johnson&Johnson,42
Austria,4/13/2021,Moderna,220857
Austria,4/13/2021,Oxford/AstraZeneca,600969
Austria,4/13/2021,Pfizer/BioNTech,1718603
Austria,4/20/2021,Johnson&Johnson,46
Austria,4/20/2021,Moderna,257879
Austria,4/20/2021,Oxford/AstraZeneca,649369
Austria,4/20/2021,Pfizer/BioNTech,1980007
Austria,4/27/2021,Johnson&Johnson,266
Austria,4/27/2021,Moderna,296447
Austria,4/27/2021,Oxford/AstraZeneca,691139
Austria,4/27/2021,Pfizer/BioNTech,2250453
Austria,5/4/2021,Johnson&Johnson,6324
Austria,5/4/2021,Moderna,345110
Austria,5/4/2021,Oxford/AstraZeneca,753315
Austria,5/4/2021,Pfizer/BioNTech,2576886
Austria,5/11/2021,Johnson&Johnson,13203
Austria,5/11/2021,Moderna,394289
Austria,5/11/2021,Oxford/AstraZeneca,816586
Austria,5/11/2021,Pfizer/BioNTech,2872991
Austria,5/18/2021,Johnson&Johnson,25310
Austria,5/18/2021,Moderna,461192
Austria,5/18/2021,Oxford/AstraZeneca,892843
Austria,5/18/2021,Pfizer/BioNTech,3246412
Austria,5/25/2021,Johnson&Johnson,37227
Austria,5/25/2021,Moderna,513294
Austria,5/25/2021,Oxford/AstraZeneca,974186
Austria,5/25/2021,Pfizer/BioNTech,3578357
Austria,6/1/2021,Johnson&Johnson,55944
Austria,6/1/2021,Moderna,564278
Austria,6/1/2021,Oxford/AstraZeneca,1039067
Austria,6/1/2021,Pfizer/BioNTech,3974462
Belgium,1/5/2021,Pfizer/BioNTech,27427
Belgium,1/12/2021,Moderna,4
Belgium,1/12/2021,Pfizer/BioNTech,125722
Belgium,1/19/2021,Moderna,4421
Belgium,1/19/2021,Pfizer/BioNTech,243315
Belgium,1/26/2021,Moderna,6077
Belgium,1/26/2021,Pfizer/BioNTech,331940
Belgium,2/2/2021,Moderna,15692
Belgium,2/2/2021,Oxford/AstraZeneca,0
Belgium,2/2/2021,Pfizer/BioNTech,459495
Belgium,2/9/2021,Moderna,25044
Belgium,2/9/2021,Oxford/AstraZeneca,309
Belgium,2/9/2021,Pfizer/BioNTech,594349
Belgium,2/16/2021,Moderna,29761
Belgium,2/16/2021,Oxford/AstraZeneca,10487
Belgium,2/16/2021,Pfizer/BioNTech,694388
Belgium,2/23/2021,Moderna,32145
Belgium,2/23/2021,Oxford/AstraZeneca,44663
Belgium,2/23/2021,Pfizer/BioNTech,782057
Belgium,3/2/2021,Moderna,50615
Belgium,3/2/2021,Oxford/AstraZeneca,108604
Belgium,3/2/2021,Pfizer/BioNTech,869303
Belgium,3/9/2021,Moderna,66313
Belgium,3/9/2021,Oxford/AstraZeneca,188566
Belgium,3/9/2021,Pfizer/BioNTech,964362
Belgium,3/16/2021,Moderna,88601
Belgium,3/16/2021,Oxford/AstraZeneca,347041
Belgium,3/16/2021,Pfizer/BioNTech,1073750
Belgium,3/23/2021,Moderna,98730
Belgium,3/23/2021,Oxford/AstraZeneca,454220
Belgium,3/23/2021,Pfizer/BioNTech,1268580
Belgium,3/30/2021,Moderna,126241
Belgium,3/30/2021,Oxford/AstraZeneca,513711
Belgium,3/30/2021,Pfizer/BioNTech,1525420
Belgium,4/6/2021,Moderna,173139
Belgium,4/6/2021,Oxford/AstraZeneca,593376
Belgium,4/6/2021,Pfizer/BioNTech,1840029
Belgium,4/13/2021,Johnson&Johnson,0
Belgium,4/13/2021,Moderna,207291
Belgium,4/13/2021,Oxford/AstraZeneca,773441
Belgium,4/13/2021,Pfizer/BioNTech,2116248
Belgium,4/20/2021,Moderna,258186
Belgium,4/20/2021,Oxford/AstraZeneca,830067
Belgium,4/20/2021,Pfizer/BioNTech,2431199
Belgium,4/27/2021,Johnson&Johnson,2705
Belgium,4/27/2021,Moderna,284041
Belgium,4/27/2021,Oxford/AstraZeneca,894993
Belgium,4/27/2021,Pfizer/BioNTech,2785593
Belgium,5/4/2021,Johnson&Johnson,23224
Belgium,5/4/2021,Moderna,341226
Belgium,5/4/2021,Oxford/AstraZeneca,996334
Belgium,5/4/2021,Pfizer/BioNTech,3335693
Belgium,5/11/2021,Johnson&Johnson,28654
Belgium,5/11/2021,Moderna,394854
Belgium,5/11/2021,Oxford/AstraZeneca,1088748
Belgium,5/11/2021,Pfizer/BioNTech,3785133
Belgium,5/18/2021,Johnson&Johnson,48365
Belgium,5/18/2021,Moderna,495928
Belgium,5/18/2021,Oxford/AstraZeneca,1353777
Belgium,5/18/2021,Pfizer/BioNTech,4147170
Belgium,5/25/2021,Johnson&Johnson,71065
Belgium,5/25/2021,Moderna,569499
Belgium,5/25/2021,Oxford/AstraZeneca,1448481
Belgium,5/25/2021,Pfizer/BioNTech,4580934
Belgium,6/1/2021,Johnson&Johnson,84839
Belgium,6/1/2021,Moderna,612303
Belgium,6/1/2021,Oxford/AstraZeneca,1500122
Belgium,6/1/2021,Pfizer/BioNTech,4785347
Bulgaria,12/29/2020,Pfizer/BioNTech,0
Bulgaria,1/5/2021,Moderna,0
Bulgaria,1/5/2021,Pfizer/BioNTech,13473
Bulgaria,1/12/2021,Moderna,491
Bulgaria,1/12/2021,Pfizer/BioNTech,17962
Bulgaria,1/19/2021,Moderna,843
Bulgaria,1/19/2021,Pfizer/BioNTech,25300
Bulgaria,1/26/2021,Moderna,1053
Bulgaria,1/26/2021,Pfizer/BioNTech,40072
Bulgaria,2/2/2021,Moderna,2207
Bulgaria,2/2/2021,Oxford/AstraZeneca,10
Bulgaria,2/2/2021,Pfizer/BioNTech,54821
Bulgaria,2/9/2021,Moderna,3333
Bulgaria,2/9/2021,Oxford/AstraZeneca,2035
Bulgaria,2/9/2021,Pfizer/BioNTech,70020
Bulgaria,2/16/2021,Moderna,6446
Bulgaria,2/16/2021,Oxford/AstraZeneca,28947
Bulgaria,2/16/2021,Pfizer/BioNTech,83960
Bulgaria,2/23/2021,Moderna,10475
Bulgaria,2/23/2021,Oxford/AstraZeneca,97630
Bulgaria,2/23/2021,Pfizer/BioNTech,104340
Bulgaria,3/2/2021,Moderna,14820
Bulgaria,3/2/2021,Oxford/AstraZeneca,143932
Bulgaria,3/2/2021,Pfizer/BioNTech,129880
Bulgaria,3/9/2021,Moderna,16988
Bulgaria,3/9/2021,Oxford/AstraZeneca,174209
Bulgaria,3/9/2021,Pfizer/BioNTech,147683
Bulgaria,3/16/2021,Moderna,20921
Bulgaria,3/16/2021,Oxford/AstraZeneca,179029
Bulgaria,3/16/2021,Pfizer/BioNTech,168956
Bulgaria,3/23/2021,Moderna,34004
Bulgaria,3/23/2021,Oxford/AstraZeneca,206835
Bulgaria,3/23/2021,Pfizer/BioNTech,195704
Bulgaria,3/30/2021,Moderna,44809
Bulgaria,3/30/2021,Oxford/AstraZeneca,230180
Bulgaria,3/30/2021,Pfizer/BioNTech,228583
Bulgaria,4/6/2021,Moderna,59160
Bulgaria,4/6/2021,Oxford/AstraZeneca,238387
Bulgaria,4/6/2021,Pfizer/BioNTech,275118
Bulgaria,4/13/2021,Johnson&Johnson,0
Bulgaria,4/13/2021,Moderna,74318
Bulgaria,4/13/2021,Oxford/AstraZeneca,241707
Bulgaria,4/13/2021,Pfizer/BioNTech,322422
Bulgaria,4/20/2021,Johnson&Johnson,0
Bulgaria,4/20/2021,Moderna,93241
Bulgaria,4/20/2021,Oxford/AstraZeneca,247383
Bulgaria,4/20/2021,Pfizer/BioNTech,382650
Bulgaria,4/27/2021,Johnson&Johnson,0
Bulgaria,4/27/2021,Moderna,108865
Bulgaria,4/27/2021,Oxford/AstraZeneca,263756
Bulgaria,4/27/2021,Pfizer/BioNTech,452036
Bulgaria,5/4/2021,Johnson&Johnson,0
Bulgaria,5/4/2021,Moderna,122688
Bulgaria,5/4/2021,Oxford/AstraZeneca,300451
Bulgaria,5/4/2021,Pfizer/BioNTech,514960
Bulgaria,5/11/2021,Johnson&Johnson,398
Bulgaria,5/11/2021,Moderna,145571
Bulgaria,5/11/2021,Oxford/AstraZeneca,364379
Bulgaria,5/11/2021,Pfizer/BioNTech,606439
Bulgaria,5/18/2021,Johnson&Johnson,2629
Bulgaria,5/18/2021,Moderna,165767
Bulgaria,5/18/2021,Oxford/AstraZeneca,401422
Bulgaria,5/18/2021,Pfizer/BioNTech,690983
Bulgaria,5/25/2021,Johnson&Johnson,6276
Bulgaria,5/25/2021,Moderna,181502
Bulgaria,5/25/2021,Oxford/AstraZeneca,411232
Bulgaria,5/25/2021,Pfizer/BioNTech,754371
Bulgaria,6/1/2021,Johnson&Johnson,11041
Bulgaria,6/1/2021,Moderna,181502
Bulgaria,6/1/2021,Oxford/AstraZeneca,411232
Bulgaria,6/1/2021,Pfizer/BioNTech,754371
Chile,12/24/2020,Pfizer/BioNTech,420
Chile,12/25/2020,Pfizer/BioNTech,5198
Chile,12/26/2020,Pfizer/BioNTech,8338
Chile,12/27/2020,Pfizer/BioNTech,8649
Chile,12/28/2020,Pfizer/BioNTech,8649
Chile,12/29/2020,Pfizer/BioNTech,8649
Chile,12/30/2020,Pfizer/BioNTech,8649
Chile,12/31/2020,Pfizer/BioNTech,8649
Chile,1/1/2021,Pfizer/BioNTech,8649
Chile,1/2/2021,Pfizer/BioNTech,8649
Chile,1/3/2021,Pfizer/BioNTech,8649
Chile,1/4/2021,Pfizer/BioNTech,9054
Chile,1/5/2021,Pfizer/BioNTech,10497
Chile,1/6/2021,Pfizer/BioNTech,10702
Chile,1/7/2021,Pfizer/BioNTech,10702
Chile,1/8/2021,Pfizer/BioNTech,10702
Chile,1/9/2021,Pfizer/BioNTech,10702
Chile,1/10/2021,Pfizer/BioNTech,10702
Chile,1/11/2021,Pfizer/BioNTech,10702
Chile,1/12/2021,Pfizer/BioNTech,10702
Chile,1/13/2021,Pfizer/BioNTech,11732
Chile,1/14/2021,Pfizer/BioNTech,18646
Chile,1/15/2021,Pfizer/BioNTech,22077
Chile,1/16/2021,Pfizer/BioNTech,22167
Chile,1/17/2021,Pfizer/BioNTech,22167
Chile,1/18/2021,Pfizer/BioNTech,33203
Chile,1/19/2021,Pfizer/BioNTech,52559
Chile,1/20/2021,Pfizer/BioNTech,61862
Chile,1/21/2021,Pfizer/BioNTech,64922
Chile,1/22/2021,Pfizer/BioNTech,65334
Chile,1/23/2021,Pfizer/BioNTech,65334
Chile,1/24/2021,Pfizer/BioNTech,65334
Chile,1/25/2021,Pfizer/BioNTech,66754
Chile,1/26/2021,Pfizer/BioNTech,67370
Chile,1/27/2021,Pfizer/BioNTech,67405
Chile,1/28/2021,Pfizer/BioNTech,67405
Chile,1/29/2021,Pfizer/BioNTech,67410
Chile,1/30/2021,Pfizer/BioNTech,67411
Chile,1/31/2021,Pfizer/BioNTech,67411
Chile,2/1/2021,Pfizer/BioNTech,67411
Chile,2/2/2021,Pfizer/BioNTech,67417
Chile,2/2/2021,Sinovac,13181
Chile,2/3/2021,Pfizer/BioNTech,67417
Chile,2/3/2021,Sinovac,183541
Chile,2/4/2021,Pfizer/BioNTech,69545
Chile,2/4/2021,Sinovac,357545
Chile,2/5/2021,Pfizer/BioNTech,70233
Chile,2/5/2021,Sinovac,526197
Chile,2/6/2021,Pfizer/BioNTech,70238
Chile,2/6/2021,Sinovac,554047
Chile,2/7/2021,Pfizer/BioNTech,70240
Chile,2/7/2021,Sinovac,562681
Chile,2/8/2021,Pfizer/BioNTech,82026
Chile,2/8/2021,Sinovac,784131
Chile,2/9/2021,Pfizer/BioNTech,101491
Chile,2/9/2021,Sinovac,1026503
Chile,2/10/2021,Pfizer/BioNTech,109927
Chile,2/10/2021,Sinovac,1298917
Chile,2/11/2021,Pfizer/BioNTech,112997
Chile,2/11/2021,Sinovac,1549992
Chile,2/12/2021,Pfizer/BioNTech,113357
Chile,2/12/2021,Sinovac,1779073
Chile,2/13/2021,Pfizer/BioNTech,113391
Chile,2/13/2021,Sinovac,1808589
Chile,2/14/2021,Pfizer/BioNTech,113391
Chile,2/14/2021,Sinovac,1813055
Chile,2/15/2021,Pfizer/BioNTech,113392
Chile,2/15/2021,Sinovac,2078907
Chile,2/16/2021,Pfizer/BioNTech,113404
Chile,2/16/2021,Sinovac,2298906
Chile,2/17/2021,Pfizer/BioNTech,113404
Chile,2/17/2021,Sinovac,2486942
Chile,2/18/2021,Pfizer/BioNTech,113405
Chile,2/18/2021,Sinovac,2642184
Chile,2/19/2021,Pfizer/BioNTech,113405
Chile,2/19/2021,Sinovac,2784298
Chile,2/20/2021,Pfizer/BioNTech,113405
Chile,2/20/2021,Sinovac,2793937
Chile,2/21/2021,Pfizer/BioNTech,113405
Chile,2/21/2021,Sinovac,2795101
Chile,2/22/2021,Pfizer/BioNTech,125501
Chile,2/22/2021,Sinovac,2891140
Chile,2/23/2021,Pfizer/BioNTech,150350
Chile,2/23/2021,Sinovac,2960543
Chile,2/24/2021,Pfizer/BioNTech,178869
Chile,2/24/2021,Sinovac,3018289
Chile,2/25/2021,Pfizer/BioNTech,212578
Chile,2/25/2021,Sinovac,3070649
Chile,2/26/2021,Pfizer/BioNTech,242290
Chile,2/26/2021,Sinovac,3119310
Chile,2/27/2021,Pfizer/BioNTech,248551
Chile,2/27/2021,Sinovac,3123032
Chile,2/28/2021,Pfizer/BioNTech,248553
Chile,2/28/2021,Sinovac,3123385
Chile,3/1/2021,Pfizer/BioNTech,263395
Chile,3/1/2021,Sinovac,3246034
Chile,3/2/2021,Pfizer/BioNTech,294232
Chile,3/2/2021,Sinovac,3386480
Chile,3/3/2021,Pfizer/BioNTech,312751
Chile,3/3/2021,Sinovac,3679792
Chile,3/4/2021,Pfizer/BioNTech,321810
Chile,3/4/2021,Sinovac,3981195
Chile,3/5/2021,Pfizer/BioNTech,327550
Chile,3/5/2021,Sinovac,4273202
Chile,3/6/2021,Pfizer/BioNTech,327894
Chile,3/6/2021,Sinovac,4306632
Chile,3/7/2021,Pfizer/BioNTech,328000
Chile,3/7/2021,Sinovac,4314483
Chile,3/8/2021,Pfizer/BioNTech,340538
Chile,3/8/2021,Sinovac,4652459
Chile,3/9/2021,Pfizer/BioNTech,378033
Chile,3/9/2021,Sinovac,4991380
Chile,3/10/2021,Pfizer/BioNTech,419560
Chile,3/10/2021,Sinovac,5351066
Chile,3/11/2021,Pfizer/BioNTech,465247
Chile,3/11/2021,Sinovac,5722343
Chile,3/12/2021,Pfizer/BioNTech,482588
Chile,3/12/2021,Sinovac,6079228
Chile,3/13/2021,Pfizer/BioNTech,483141
Chile,3/13/2021,Sinovac,6129118
Chile,3/14/2021,Pfizer/BioNTech,483141
Chile,3/14/2021,Sinovac,6135699
Chile,3/15/2021,Pfizer/BioNTech,506894
Chile,3/15/2021,Sinovac,6542025
Chile,3/16/2021,Pfizer/BioNTech,560101
Chile,3/16/2021,Sinovac,6898594
Chile,3/17/2021,Pfizer/BioNTech,615129
Chile,3/17/2021,Sinovac,7210325
Chile,3/18/2021,Pfizer/BioNTech,663847
Chile,3/18/2021,Sinovac,7495616
Chile,3/19/2021,Pfizer/BioNTech,682997
Chile,3/19/2021,Sinovac,7766961
Chile,3/20/2021,Pfizer/BioNTech,684850
Chile,3/20/2021,Sinovac,7799236
Chile,3/21/2021,Pfizer/BioNTech,684851
Chile,3/21/2021,Sinovac,7803257
Chile,3/22/2021,Pfizer/BioNTech,718047
Chile,3/22/2021,Sinovac,8035874
Chile,3/23/2021,Pfizer/BioNTech,774594
Chile,3/23/2021,Sinovac,8216763
Chile,3/24/2021,Pfizer/BioNTech,826001
Chile,3/24/2021,Sinovac,8382891
Chile,3/25/2021,Pfizer/BioNTech,879535
Chile,3/25/2021,Sinovac,8540955
Chile,3/26/2021,Pfizer/BioNTech,917260
Chile,3/26/2021,Sinovac,8720170
Chile,3/27/2021,Pfizer/BioNTech,919249
Chile,3/27/2021,Sinovac,8733800
Chile,3/28/2021,Pfizer/BioNTech,919249
Chile,3/28/2021,Sinovac,8735191
Chile,3/29/2021,Pfizer/BioNTech,940760
Chile,3/29/2021,Sinovac,8979846
Chile,3/30/2021,Pfizer/BioNTech,997419
Chile,3/30/2021,Sinovac,9200952
Chile,3/31/2021,Pfizer/BioNTech,1042976
Chile,3/31/2021,Sinovac,9435033
Chile,4/1/2021,Pfizer/BioNTech,1066229
Chile,4/1/2021,Sinovac,9714493
Chile,4/2/2021,Pfizer/BioNTech,1066452
Chile,4/2/2021,Sinovac,9721293
Chile,4/3/2021,Pfizer/BioNTech,1066642
Chile,4/3/2021,Sinovac,9724323
Chile,4/4/2021,Pfizer/BioNTech,1066644
Chile,4/4/2021,Sinovac,9725439
Chile,4/5/2021,Pfizer/BioNTech,1097281
Chile,4/5/2021,Sinovac,9978962
Chile,4/6/2021,Pfizer/BioNTech,1179307
Chile,4/6/2021,Sinovac,10135924
Chile,4/7/2021,Pfizer/BioNTech,1267946
Chile,4/7/2021,Sinovac,10279874
Chile,4/8/2021,Pfizer/BioNTech,1345604
Chile,4/8/2021,Sinovac,10441088
Chile,4/9/2021,Pfizer/BioNTech,1394265
Chile,4/9/2021,Sinovac,10610738
Chile,4/10/2021,Pfizer/BioNTech,1401994
Chile,4/10/2021,Sinovac,10628922
Chile,4/11/2021,Pfizer/BioNTech,1402491
Chile,4/11/2021,Sinovac,10630867
Chile,4/12/2021,Pfizer/BioNTech,1466591
Chile,4/12/2021,Sinovac,10802995
Chile,4/13/2021,Pfizer/BioNTech,1553840
Chile,4/13/2021,Sinovac,10950026
Chile,4/14/2021,Pfizer/BioNTech,1642150
Chile,4/14/2021,Sinovac,11089899
Chile,4/15/2021,Pfizer/BioNTech,1708527
Chile,4/15/2021,Sinovac,11229005
Chile,4/16/2021,Pfizer/BioNTech,1755572
Chile,4/16/2021,Sinovac,11372346
Chile,4/17/2021,Pfizer/BioNTech,1761334
Chile,4/17/2021,Sinovac,11388738
Chile,4/18/2021,Pfizer/BioNTech,1761988
Chile,4/18/2021,Sinovac,11390698
Chile,4/19/2021,Pfizer/BioNTech,1783286
Chile,4/19/2021,Sinovac,11561489
Chile,4/20/2021,Pfizer/BioNTech,1824294
Chile,4/20/2021,Sinovac,11706241
Chile,4/21/2021,Pfizer/BioNTech,1868715
Chile,4/21/2021,Sinovac,11837638
Chile,4/22/2021,Pfizer/BioNTech,1914567
Chile,4/22/2021,Sinovac,11991141
Chile,4/23/2021,Pfizer/BioNTech,1942803
Chile,4/23/2021,Sinovac,12145716
Chile,4/24/2021,Pfizer/BioNTech,1945114
Chile,4/24/2021,Sinovac,12160979
Chile,4/25/2021,Pfizer/BioNTech,1945115
Chile,4/25/2021,Sinovac,12162016
Chile,4/26/2021,Pfizer/BioNTech,1989537
Chile,4/26/2021,Sinovac,12313275
Chile,4/27/2021,Pfizer/BioNTech,2052263
Chile,4/27/2021,Sinovac,12420858
Chile,4/28/2021,Oxford/AstraZeneca,3604
Chile,4/28/2021,Pfizer/BioNTech,2106304
Chile,4/28/2021,Sinovac,12531464
Chile,4/29/2021,Oxford/AstraZeneca,10142
Chile,4/29/2021,Pfizer/BioNTech,2138242
Chile,4/29/2021,Sinovac,12647673
Chile,4/30/2021,Oxford/AstraZeneca,23862
Chile,4/30/2021,Pfizer/BioNTech,2168806
Chile,4/30/2021,Sinovac,12690730
Chile,5/1/2021,Oxford/AstraZeneca,24149
Chile,5/1/2021,Pfizer/BioNTech,2169941
Chile,5/1/2021,Sinovac,12691563
Chile,5/2/2021,Oxford/AstraZeneca,24332
Chile,5/2/2021,Pfizer/BioNTech,2170331
Chile,5/2/2021,Sinovac,12692445
Chile,5/3/2021,Oxford/AstraZeneca,44422
Chile,5/3/2021,Pfizer/BioNTech,2193679
Chile,5/3/2021,Sinovac,12800158
Chile,5/4/2021,Oxford/AstraZeneca,61187
Chile,5/4/2021,Pfizer/BioNTech,2239074
Chile,5/4/2021,Sinovac,12906804
Chile,5/5/2021,Oxford/AstraZeneca,71010
Chile,5/5/2021,Pfizer/BioNTech,2286908
Chile,5/5/2021,Sinovac,13023443
Chile,5/6/2021,Oxford/AstraZeneca,78245
Chile,5/6/2021,Pfizer/BioNTech,2327095
Chile,5/6/2021,Sinovac,13133496
Chile,5/7/2021,Oxford/AstraZeneca,82393
Chile,5/7/2021,Pfizer/BioNTech,2360098
Chile,5/7/2021,Sinovac,13243222
Chile,5/8/2021,Oxford/AstraZeneca,83063
Chile,5/8/2021,Pfizer/BioNTech,2365689
Chile,5/8/2021,Sinovac,13262372
Chile,5/9/2021,Oxford/AstraZeneca,83133
Chile,5/9/2021,Pfizer/BioNTech,2365752
Chile,5/9/2021,Sinovac,13263639
Chile,5/10/2021,Oxford/AstraZeneca,86087
Chile,5/10/2021,Pfizer/BioNTech,2404614
Chile,5/10/2021,Sinovac,13394739
Chile,5/11/2021,Oxford/AstraZeneca,88066
Chile,5/11/2021,Pfizer/BioNTech,2469772
Chile,5/11/2021,Sinovac,13519168
Chile,5/12/2021,Oxford/AstraZeneca,89733
Chile,5/12/2021,Pfizer/BioNTech,2528436
Chile,5/12/2021,Sinovac,13641108
Chile,5/13/2021,Oxford/AstraZeneca,90289
Chile,5/13/2021,Pfizer/BioNTech,2575514
Chile,5/13/2021,Sinovac,13749985
Chile,5/14/2021,Oxford/AstraZeneca,90520
Chile,5/14/2021,Pfizer/BioNTech,2619542
Chile,5/14/2021,Sinovac,13864116
Chile,5/15/2021,Oxford/AstraZeneca,90560
Chile,5/15/2021,Pfizer/BioNTech,2619862
Chile,5/15/2021,Sinovac,13865258
Chile,5/16/2021,Oxford/AstraZeneca,90560
Chile,5/16/2021,Pfizer/BioNTech,2619941
Chile,5/16/2021,Sinovac,13865613
Chile,5/17/2021,Oxford/AstraZeneca,90853
Chile,5/17/2021,Pfizer/BioNTech,2672776
Chile,5/17/2021,Sinovac,13983431
Chile,5/18/2021,Oxford/AstraZeneca,92283
Chile,5/18/2021,Pfizer/BioNTech,2750511
Chile,5/18/2021,Sinovac,14086968
Chile,5/19/2021,Oxford/AstraZeneca,98797
Chile,5/19/2021,Pfizer/BioNTech,2828754
Chile,5/19/2021,Sinovac,14167743
Chile,5/20/2021,Oxford/AstraZeneca,105514
Chile,5/20/2021,Pfizer/BioNTech,2897713
Chile,5/20/2021,Sinovac,14281654
Chile,5/21/2021,Oxford/AstraZeneca,105582
Chile,5/21/2021,Pfizer/BioNTech,2904167
Chile,5/21/2021,Sinovac,14284189
Chile,5/22/2021,Oxford/AstraZeneca,106075
Chile,5/22/2021,Pfizer/BioNTech,2916310
Chile,5/22/2021,Sinovac,14304098
Chile,5/23/2021,Oxford/AstraZeneca,106095
Chile,5/23/2021,Pfizer/BioNTech,2917435
Chile,5/23/2021,Sinovac,14307227
Chile,5/24/2021,Oxford/AstraZeneca,118469
Chile,5/24/2021,Pfizer/BioNTech,2991151
Chile,5/24/2021,Sinovac,14457291
Chile,5/25/2021,Oxford/AstraZeneca,136026
Chile,5/25/2021,Pfizer/BioNTech,3101679
Chile,5/25/2021,Sinovac,14574491
Chile,5/26/2021,Oxford/AstraZeneca,161407
Chile,5/26/2021,Pfizer/BioNTech,3175045
Chile,5/26/2021,Sinovac,14703717
Chile,5/27/2021,Oxford/AstraZeneca,195287
Chile,5/27/2021,Pfizer/BioNTech,3230945
Chile,5/27/2021,Sinovac,14815991
Chile,5/28/2021,Oxford/AstraZeneca,227327
Chile,5/28/2021,Pfizer/BioNTech,3278388
Chile,5/28/2021,Sinovac,14921752
Chile,5/29/2021,Oxford/AstraZeneca,235766
Chile,5/29/2021,Pfizer/BioNTech,3290520
Chile,5/29/2021,Sinovac,14948373
Chile,5/30/2021,Oxford/AstraZeneca,237159
Chile,5/30/2021,Pfizer/BioNTech,3292067
Chile,5/30/2021,Sinovac,14955498
Chile,5/31/2021,CanSino,72
Chile,5/31/2021,Oxford/AstraZeneca,280907
Chile,5/31/2021,Pfizer/BioNTech,3359501
Chile,5/31/2021,Sinovac,15058903
Chile,6/1/2021,CanSino,10394
Chile,6/1/2021,Oxford/AstraZeneca,326264
Chile,6/1/2021,Pfizer/BioNTech,3461734
Chile,6/1/2021,Sinovac,15120840
Chile,6/2/2021,CanSino,33559
Chile,6/2/2021,Oxford/AstraZeneca,358728
Chile,6/2/2021,Pfizer/BioNTech,3541032
Chile,6/2/2021,Sinovac,15188947
Chile,6/3/2021,CanSino,73012
Chile,6/3/2021,Oxford/AstraZeneca,361053
Chile,6/3/2021,Pfizer/BioNTech,3587973
Chile,6/3/2021,Sinovac,15262898
Chile,6/4/2021,CanSino,107151
Chile,6/4/2021,Oxford/AstraZeneca,362603
Chile,6/4/2021,Pfizer/BioNTech,3611947
Chile,6/4/2021,Sinovac,15347291
Chile,6/5/2021,CanSino,116971
Chile,6/5/2021,Oxford/AstraZeneca,362900
Chile,6/5/2021,Pfizer/BioNTech,3616935
Chile,6/5/2021,Sinovac,15369634
Chile,6/6/2021,CanSino,118756
Chile,6/6/2021,Oxford/AstraZeneca,362930
Chile,6/6/2021,Pfizer/BioNTech,3617512
Chile,6/6/2021,Sinovac,15372209
Chile,6/7/2021,CanSino,145112
Chile,6/7/2021,Oxford/AstraZeneca,364838
Chile,6/7/2021,Pfizer/BioNTech,3628152
Chile,6/7/2021,Sinovac,15506404
